status,title,journal_type,write_date,update_date,visit
4,"김성욱, 김동성 &#34;스프링 댐퍼 특성을 이용한 네트워크 기반 군집 로봇의 경로 제어 기법&#34;, Institute of control, robotics and systems, vol. 16, No. 1, pp. 61-68, 2010.",2,2/4/2013 13:25,5/15/2019 12:00,2420
1,"Dong-Seong Kim and J.I.Lee, &#34;Efficient GTS Allocation Method of Industrial IEEE 802.15.4 Network for Real-time Periodic I/O Data&#34;, Journal of Institute of Control, Robotics and Systems , Vol. 16, No. 5, pp. 510-516, May 2010.",2,2/4/2013 13:26,10/8/2018 10:53,1641
1,"J.-H.Lee, E.-S.Lee, and Dong-Seong Kim, &#34;무선 네트워크에서 동적 히스테리시스 특성을 이용한 이동 노드의 가입 방법&#34;, Journal of IEEK-CI, vol. 48, no. 4, pp. 1-9, July 2011",2,2/4/2013 13:30,10/8/2018 10:55,1799
1,"K. Y. Lee, K. S. Song, and Dong-Seong Kim, &#34;군사용 위성통신망을 위한 동적 WDRR기반의 스케줄링 알고리즘&#34;, Journal of IEEK-SC, vol. 5, no. 1, pp. 196-204, 2013 (N1)",2,2/4/2013 16:29,10/8/2018 10:58,1983
1,"J.-S.Yun, Y.-S.Kim, and Dong-Seong Kim, &#34;원전용 실시간 제어망을 위한 실시간 이더넷 기술의 마스터 이중화 기법&#34;, Vol.48, No.4, pp.71-79, Journal of IEEK, SC편, 2011.",2,2/4/2013 13:31,10/8/2018 11:05,1959
4,"J.Y.Choi and D.-S. Kim, &#34;On-line Learning Control of Nonlinear Systems using Local Affine Mapping-based Networks,&#34; Journal of Fuzzy and Intelligent Control System, Vol.5 , No.3, pp. 3-10, 1995.",2,5/14/2008 2:08,5/10/2019 16:10,1995
4,"D. H. Choi and D-S. Kim, &#34;Maximum Allowable Delay Bounds and Real-time Scheduling Method of Networked Discrete-time Control Systems&#34;, Journal of Control, Automation and Systems Engineering, Vol.12, No.7, pp.719-727, July 2006.",2,2/4/2013 13:11,5/15/2019 11:39,1675
4,"D.-S. Kim, W.H.Kwon, and H.J.Shin, &#34;Development of Power Line based on Home Network System for Digital Home Appliance&#34;, Journal of Korea Institute of Electrical Engineering, Vol.49, No.11, pp.10-16, 2000.",2,5/14/2008 2:08,5/10/2019 16:12,1803
4,"Ji-Won Jung, SeungKi Lee, and Dong-Seonng Kim, &#34;Common Industrial Protocol 에 기초한 유무선 혼합형 네트워크의 성능분석,&#34; Journal of Control, Automation and Systems Engineering, Vol. 13, No. 11, pp.1119-1127, November 2007.",2,2/4/2013 13:12,5/15/2019 11:41,1561
4,"J. I. Lee and Dong-Seong Kim, &#34;A Dynamic Backoff Adjustment Method of IEEE 802.15.4 Networks for Real-Time Sporadic Data Transmission&#34;,  Journal of Control, Automation and Systems Engineering, Vol. 14, No. 2, pp. 318-325, Feb. 2008.",2,2/4/2013 13:13,5/15/2019 11:44,1582
4,"이정일, 김동성 &#34;공장 환경에서의 무선 제어 시스템을 위한 센서네트워크의 동적 스케줄링 기법에 대한 연구&#34;, 대한전자공학회 전 자공학회논문지-SC, Vol. 45, No. 2, pp. 45-54, 3월 2008.",2,2/4/2013 13:17,5/15/2019 11:49,1750
4,"J.W. Jung and Dong-Seong Kim, &#34;Real-time Synchronization Algorithm for Industrial Hybrid Networks: CAN and Sensor Networks&#34;, Journal of Institute of Control, Robotics and Systems, Vol. 16, No. 2, pp. 194-201, 2010.",2,2/4/2013 13:18,5/15/2019 11:53,1637
4,"권기협, 김동성 &#34;Analysis of Application Message Protocol for Control Network in Green Power Systems&#34;, 제어로봇시스템학회논문지, Vol. 15, No.12, pp.89~96, 2009.",2,2/4/2013 13:24,5/15/2019 11:54,1713
1,"J.-H.Lee, E.-S.Lee, and Dong-Seong Kim, &#34;센서 네트워크의 이동 노드를 위한 효율적 네트워크 구성 방법&#34;, Journal of IEEK-CI, vol. 47, no. 6, pp. 113-123, Nov. 2010",2,2/4/2013 13:28,10/8/2018 10:54,1680
4,"김동성, 권기협, &#34;국제생산 메시지 규약을 이용한 산업용 분산 제어 시스템의 구현 및 응용 (Implementation and Applications of Industrial Distributed Control System using Manufacturing Message Specification)&#34;, 한국정보기술학회논문지, Vol.7, No.5, pp.25-34, 2009.",2,2/4/2013 13:24,5/15/2019 11:57,1723
4,"Jin Yong Im, Dong Seong Kim, Kyung Sub Song, and Yoon Suk Choi, &#34;함정 전투 시스템 개발 툴을 위한 분산 실시간 메시지 관리 기법 설계 및 구현, Design and Realization of Distributed Real-time Message Management Scheme for Naval Combat System Development Tool&#34;, Journal of Institute for Control, Robotics and Systems (ISSN: 1976-5622 eISSN: 2233-4335), vol. 22, no. 7, pp. 570-577, July 2016.",2,8/25/2015 13:07,5/15/2019 11:33,1678
4,"Dong-Seong Kim, J.M.Lee, K.Y.Cho, and W.H.Kwon, &#34;Home Network Message Specification of White Goods based on Power Line Communication&#34;,  KIEE International Transactions on SC, Vol.3, No.11, pp.67-75, 2001.",2,12/18/2012 12:50,5/10/2019 16:16,1679
4,"J.M.Lee, K.J. Myung, D.-S. Kim, and W.H. Kwon, &#34;Design and Implementation of Home Network Control Protocol for Networked Home Appliances&#34;, Journal of Korea Institute of Information & Communication Facilities Engineering, Vol.1, No.1, pp.26-38, 2002.",2,12/18/2012 12:50,5/10/2019 16:27,1556
4,"H.H.Bae and Dong-Seong Kim, &#34;Dynamic Power Management Structure for Energy Harvesting Pervasive Computing System&#34;, Journal of Institute Embedded Engineering, Vol.1, No.1, pp.1-7, 2006.",2,12/18/2012 12:50,5/10/2019 16:28,1646
4,"Dong-Seong Kim, &#34;Design and Implementation of Pet Dog Management&#34;, Journal of Korea Institute of Information and Communication Facilities Engineering, Vol.5, No.1, pp.26-38, 2006.",2,12/18/2012 12:51,5/15/2019 11:37,1606
1,"김동성, 허성길, &#34;함정 전투 시스템의 분산 제어 통신망 기술&#34;, 한국정보통신학회 학회지, Vol.13, No. 2, pp. 41-47, 2012",2,2/4/2013 13:32,10/8/2018 10:56,2073
1,"J.H.Lee and Dong-Seong Kim &#34;이원화된 필드버스 기반의 선박 엔진용 분산 제어 시스템의 설계 및 구현&#34;, Jounal of IEEK , vol. 49, no.2, pp.103-111, 2012",2,2/4/2013 13:58,10/8/2018 10:57,4266
1,"Sung-Phil Heo, Dong-Hee Noh, Chang Bae Moon, Dong-Sung Kim, &#34;사물인터넷 기반 헬스케어 서비스 기술 동향 Trend of IoT-based Healthcare Service&#34;, Journal of Institute of Embedded Engineering of Korea(대한임베디드공학회논문지), vol. 10, no. 4, pp.221-231, Aug. 2015.(N2 & Medical)",2,8/25/2015 13:03,10/8/2018 11:07,1814
